Ensembl ID;Gene;Chromosome_scaffold;Transcript start;Transcript end
ENSMUST00000033847;Agpat5;8;18846279;18883421
ENSMUST00000149565;Agpat5;8;18846277;18891361
ENSMUST00000047232;Agps;2;75832177;75931350
ENSMUST00000140489;Ahctf1;1;179745337;179752409
ENSMUST00000027768;Ahctf1;1;179744894;179803680
ENSMUST00000021425;Ahsa1;12;87266698;87273979
ENSMUST00000010434;AI597479;1;43098710;43115947
ENSMUST00000193625;Aida;1;183297405;183323609
ENSMUST00000109166;Aida;1;183297049;183325476
ENSMUST00000029663;Aimp1;3;132660499;132683884
ENSMUST00000031613;Aimp2;5;143902704;143909839
ENSMUST00000117831;Aip;19;4114446;4125858
ENSMUST00000180758;Aip;CHR_MG153_PATCH;4114464;4121575
ENSMUST00000181243;Aip;CHR_MG153_PATCH;4114446;4125858
ENSMUST00000025767;Aip;19;4114464;4121575
ENSMUST00000102604;Ak2;4;128993224;129011529
ENSMUST00000030583;Ak2;4;128993224;129008401
ENSMUST00000125587;Ak3;19;29025901;29027244
ENSMUST00000025696;Ak3;19;29020833;29047961
ENSMUST00000022593;Akap11;14;78495776;78522650
ENSMUST00000123853;Akap11;14;78492246;78536808
ENSMUST00000002699;Akap8;17;32303672;32321185
ENSMUST00000050214;Akap8l;17;32321424;32350607
ENSMUST00000102636;Akirin1;4;123734559;123750345
ENSMUST00000084299;Akirin2;4;34550937;34566908
ENSMUST00000001780;Akt1;12;112653821;112674276
ENSMUST00000111160;Akt3;1;177022115;177248767
ENSMUST00000209963;Aldh16a1;7;45140905;45154573
ENSMUST00000039818;Aldh4a1;4;139622866;139649690
ENSMUST00000028004;Aldh9a1;1;167349991;167368532
ENSMUST00000070801;Alg13;X;144317804;144325197
ENSMUST00000044148;Alg2;4;47469833;47474333
ENSMUST00000045918;Alg3;16;20605451;20610768
ENSMUST00000044567;Alg5;3;54735539;54749795
ENSMUST00000097961;Alg6;4;99715665;99763460
ENSMUST00000041100;Alkbh4;5;136136154;136141612
ENSMUST00000044250;Alkbh5;11;60537978;60558512
ENSMUST00000026125;Alyref;11;120592121;120598365
ENSMUST00000053766;Amfr;8;93971588;94012842
ENSMUST00000103061;Amz2;11;109426226;109436989
ENSMUST00000092500;Amz2;11;109425946;109438148
ENSMUST00000014499;Anapc1;2;128610104;128687391
ENSMUST00000026128;Anapc11;11;120598421;120608198
ENSMUST00000093140;Anapc11;11;120598532;120605776
ENSMUST00000020307;Anapc16;10;59987908;60003111
ENSMUST00000182898;Anapc16;10;59987409;60003135
ENSMUST00000028341;Anapc2;2;25272478;25285915
ENSMUST00000086216;Anapc5;5;122787459;122821339
ENSMUST00000200645;Anapc5;5;122787731;122821294
ENSMUST00000199406;Anapc5;5;122787727;122821280
ENSMUST00000031422;Anapc7;5;122422444;122444912
ENSMUST00000155998;Ankfy1;11;72690006;72772146
ENSMUST00000043551;Ankib1;5;3690000;3802925
ENSMUST00000031474;Ankle2;5;110231041;110256647
ENSMUST00000041640;Ankmy2;12;36157114;36197291
ENSMUST00000169782;Ankrd10;8;11611583;11635757
ENSMUST00000040787;Ankrd13c;3;157947414;158008034
ENSMUST00000081914;Ankrd17;5;90228465;90366228
ENSMUST00000014421;Ankrd17;5;90227166;90366577
ENSMUST00000107818;Ankrd40;11;94328001;94341841
ENSMUST00000014642;Ankrd52;10;128377119;128394006
ENSMUST00000040676;Ankrd54;15;79053094;79062885
ENSMUST00000139173;Anks1;17;28007345;28062599
ENSMUST00000114842;Anks1;17;27909306;28062775
ENSMUST00000023157;Anks3;16;4941436;4964173
ENSMUST00000152233;Ankzf1;1;75192160;75199387
ENSMUST00000135395;Anp32a;9;62342075;62377672
ENSMUST00000085519;Anp32a;9;62341329;62378812
ENSMUST00000128636;Anp32a;9;62341902;62374718
ENSMUST00000156461;Anp32a;9;62342464;62373583
ENSMUST00000102926;Anp32b;4;46450902;46472657
ENSMUST00000015893;Anp32e;3;95929278;95945565
ENSMUST00000165307;Anp32e;3;95929246;95947390
ENSMUST00000093157;Ap1g1;8;109778554;109864204
ENSMUST00000003117;Ap1m1;8;72240018;72257385
ENSMUST00000018875;Ap2b1;11;83302483;83405035
ENSMUST00000090023;Ap2m1;16;20535478;20544056
ENSMUST00000007216;Ap2m1;16;20535480;20544909
ENSMUST00000022196;Ap3b1;13;94358960;94566317
ENSMUST00000020420;Ap3d1;10;80706956;80742264
ENSMUST00000154460;Ap3m1;14;21031442;21052450
ENSMUST00000075657;Ap3s2;7;79875325;79920649
ENSMUST00000002063;Ap4e1;2;127008730;127067909
ENSMUST00000019662;Ap4m1;5;138172002;138180429
ENSMUST00000021338;Ap4s1;12;51691037;51738932
ENSMUST00000037473;Ap5m1;14;49066495;49090879
ENSMUST00000057798;Apba3;10;81268172;81273246
ENSMUST00000193254;Apeh;9;108085413;108094606
ENSMUST00000015894;Aph1a;3;95893969;95898288
ENSMUST00000056710;Aph1a;3;95894055;95897445
ENSMUST00000028617;Api5;2;94411682;94438136
ENSMUST00000011055;Apip;2;103073675;103092644
ENSMUST00000046399;Apmap;2;150583080;150608567
ENSMUST00000040519;Apopt1;12;111713261;111734220
ENSMUST00000162316;Apopt1;12;111713286;111727115
ENSMUST00000018625;Appbp2;11;85187262;85235130
ENSMUST00000036570;Appl1;14;26918988;26971232
ENSMUST00000043160;Aqr;2;114101170;114175339
ENSMUST00000001155;Araf;X;20848543;20860519
ENSMUST00000034607;Arcn1;9;44741564;44767845
ENSMUST00000061242;Arf1;11;59211414;59228270
ENSMUST00000112318;Arf4;14;26638347;26656814
ENSMUST00000022429;Arf4;14;26638074;26657258
ENSMUST00000029092;Arfgap1;2;180967234;180982526
ENSMUST00000080008;Arfgap2;2;91264974;91276931
ENSMUST00000028691;Arfgap2;2;91265293;91276931
ENSMUST00000067215;Arfgap3;15;83299739;83350247
ENSMUST00000088615;Arfgef1;1;10137571;10232670
ENSMUST00000099078;Arfgef2;2;166805588;166898052
ENSMUST00000098990;Arfip1;3;84496093;84582534
ENSMUST00000127988;Arfrp1;2;181357833;181365404
ENSMUST00000108808;Arfrp1;2;181359100;181365351
ENSMUST00000090614;Arhgap1;2;91650222;91672326
ENSMUST00000115799;Arid1b;17;4996421;5347656
ENSMUST00000096250;Arid2;15;96287573;96404992
ENSMUST00000171975;Arih1;9;59388258;59486614
ENSMUST00000013338;Arih2;9;108602942;108649380
ENSMUST00000116234;Arl1;10;88731068;88744094
ENSMUST00000028536;Arl14ep;2;106962527;106974424
ENSMUST00000026009;Arl3;19;46531096;46573093
ENSMUST00000032888;Arl6ip1;7;118118891;118129662
ENSMUST00000031351;Arl6ip4;5;124116099;124118196
ENSMUST00000032196;Arl8b;6;108783099;108825278
ENSMUST00000029125;Armc1;3;19131402;19163065
ENSMUST00000086884;Armcx3;X;134756647;134761455
ENSMUST00000081834;Armcx3;X;134756595;134761425
ENSMUST00000096321;Armcx5;X;135742733;135747322
ENSMUST00000090804;Arnt;3;95434390;95497240
ENSMUST00000113820;Arpc2;1;74236497;74268209
ENSMUST00000006467;Arpc2;1;74236517;74267987
ENSMUST00000077755;Arpc5;1;152766542;152775597
ENSMUST00000170308;Arpp19;9;75037677;75056838
ENSMUST00000002989;Arrdc2;8;70835129;70839720
ENSMUST00000165199;Arsa;15;89472476;89477425
ENSMUST00000034463;Arv1;8;124722139;124734123
ENSMUST00000177083;Asap1;15;64088536;64312639
ENSMUST00000177371;Asap1;15;64086857;64312673
ENSMUST00000143400;Asb8;15;98134637;98165625
ENSMUST00000070257;Ascc2;11;4637747;4683385
ENSMUST00000109930;Ascc2;11;4637747;4685699
ENSMUST00000035606;Ascc3;10;50592669;50851485
ENSMUST00000020004;Asf1a;10;53596952;53609225
ENSMUST00000166078;Ash2l;8;25816870;25840082
ENSMUST00000064314;Asna1;8;85017931;85025281
ENSMUST00000027264;Asnsd1;1;53344617;53352752
ENSMUST00000109790;Asxl1;2;153345845;153404007
ENSMUST00000111215;Asxl2;12;3426857;3506847
ENSMUST00000092003;Asxl2;12;3426857;3506852
ENSMUST00000070210;Atad1;19;32672822;32739786
ENSMUST00000030903;Atad3a;4;155740641;155761093
ENSMUST00000023769;Atf1;15;100227819;100261244
ENSMUST00000027974;Atf6;1;170704674;170867771
ENSMUST00000015605;Atf6b;17;34647146;34655074
ENSMUST00000032335;Atf7ip;6;136518802;136610862
ENSMUST00000048393;Atg101;15;101284272;101290945
ENSMUST00000035648;Atg12;18;46730144;46741579
ENSMUST00000076803;Atg13;2;91674618;91710576
ENSMUST00000042988;Atg14;14;47540894;47568434
ENSMUST00000113186;Atg16l1;1;87756076;87792422
ENSMUST00000120267;Atg16l2;7;101285321;101302088
ENSMUST00000201269;Atg2a;CHR_MG4249_PATCH;6241668;6262335
ENSMUST00000145600;Atg2a;19;6245465;6262295
ENSMUST00000202877;Atg2a;CHR_MG4249_PATCH;6245465;6262295
ENSMUST00000041055;Atg2b;12;105616136;105685211
ENSMUST00000023343;Atg3;16;45158785;45188538
ENSMUST00000112971;Atg4a;X;140956907;141164270
ENSMUST00000027502;Atg4b;1;93754905;93790610
ENSMUST00000065005;Atg4d;9;21265293;21277772
ENSMUST00000039286;Atg5;10;44268358;44364291
ENSMUST00000032457;Atg7;6;114643097;114860614
ENSMUST00000040689;Atg9a;1;75180866;75191923
ENSMUST00000189820;Atg9a;1;75180865;75190382
ENSMUST00000027384;Atic;1;71557150;71579631
ENSMUST00000025668;Atl3;19;7494438;7536600
ENSMUST00000109099;Atmin;8;116943393;116960445
ENSMUST00000034326;Atp13a1;8;69791163;69807749
ENSMUST00000034983;Atp1b3;9;96332655;96364442
ENSMUST00000114897;Atp5c1;2;10056030;10080510
ENSMUST00000107684;Atp5g1;11;96072990;96075619
ENSMUST00000090541;Atp5g1;11;96068852;96075670
ENSMUST00000111996;Atp5g3;2;73908447;73911325
ENSMUST00000018914;Atp5g3;2;73908447;73911326
ENSMUST00000023608;Atp5j;16;84827871;84835625
ENSMUST00000033313;Atp6ap2;X;12587801;12617049
ENSMUST00000015719;Atp6v0e;17;26676370;26699647
ENSMUST00000167352;Atp6v0e;17;26676412;26697951
ENSMUST00000021536;Atp6v1d;12;78840725;78861638
ENSMUST00000044369;Atp6v1h;1;5083080;5162529
ENSMUST00000192698;Atp6v1h;1;5083154;5162419
ENSMUST00000091790;Atp9b;18;80734141;80933983
ENSMUST00000176192;Atpaf1;4;115795404;115811871
ENSMUST00000176047;Atpaf1;4;115784814;115812314
ENSMUST00000034980;Atr;9;95857597;95951644
ENSMUST00000163242;Atxn10;15;85336245;85463212
ENSMUST00000093162;Atxn1l;8;109726451;109737739
ENSMUST00000162327;Atxn2;5;121783907;121814720
ENSMUST00000161064;Atxn2;5;121749196;121814949
ENSMUST00000167759;Atxn2l;7;126491715;126502414
ENSMUST00000040202;Atxn2l;7;126491708;126503437
ENSMUST00000206577;Atxn2l;7;126491786;126503355
ENSMUST00000021606;Atxn3;12;101918901;101958246
ENSMUST00000110824;Atxn7l1;12;33147711;33251146
ENSMUST00000125192;Atxn7l1;12;33147789;33373045
ENSMUST00000141112;AU022252;4;119219842;119232712
ENSMUST00000047431;AU040320;4;126753770;126854336
ENSMUST00000110031;Auh;13;52910210;52929681
ENSMUST00000119311;Auh;13;52907045;52929654
ENSMUST00000003705;Aven;2;112492964;112634573
ENSMUST00000031805;Avl9;6;56714927;56761912
ENSMUST00000178289;AW209491;13;14630154;14638203
ENSMUST00000046633;AW549877;15;3982035;3995744
ENSMUST00000074370;Axin1;17;26138688;26195811
ENSMUST00000134433;Azi2;9;118040579;118060484
ENSMUST00000044454;Azi2;9;118040499;118063839
ENSMUST00000057844;B230219D22Rik;13;55693124;55703500
ENSMUST00000067399;B3gntl1;11;121616197;121673153
ENSMUST00000064701;B4galt7;13;55600065;55610442
ENSMUST00000205658;B9d2;7;25680780;25686558
ENSMUST00000002473;Babam1;8;71396861;71404619
ENSMUST00000113423;Bad;19;6942501;6951893
ENSMUST00000141410;Bad;19;6942879;6951252
ENSMUST00000025910;Bad;19;6941861;6951899
ENSMUST00000030125;Bag1;4;40936401;40948243
ENSMUST00000038498;Bag4;8;25764538;25785287
ENSMUST00000054636;Bag5;12;111709488;111713257
ENSMUST00000025250;Bag6;17;35135178;35147322
ENSMUST00000173550;Bag6;17;35135744;35147320
ENSMUST00000025762;Banf1;19;5364638;5367168
ENSMUST00000022458;Bap1;14;31251450;31259944
ENSMUST00000002825;Baz1b;5;135187264;135246129
ENSMUST00000045621;Baz2a;10;128092783;128129303
ENSMUST00000170054;Baz2a;10;128092783;128129303
ENSMUST00000112550;Baz2b;2;59899363;60125697
ENSMUST00000135402;Bbip1;19;53929861;53944627
ENSMUST00000053506;Bbs1;19;4886878;4906628
ENSMUST00000026265;Bbs4;9;59321990;59353508
ENSMUST00000138166;Bbx;16;50191844;50432390
ENSMUST00000088307;BC003965;17;25184554;25187662
ENSMUST00000149405;BC004004;17;29274075;29301529
ENSMUST00000120346;BC004004;17;29268961;29301523
ENSMUST00000028205;BC005624;2;30972177;30981941
ENSMUST00000108379;BC024978;7;27195781;27210186
ENSMUST00000123108;BC024978;7;27202632;27204320
ENSMUST00000124586;BC029722;2;155817730;155819426
ENSMUST00000040284;BC031181;18;75005868;75009933
ENSMUST00000177962;Bcap29;12;31590967;31634635
ENSMUST00000002091;Bcap31;X;73686178;73716175
ENSMUST00000154396;Bcas3;11;85466159;85826058
ENSMUST00000033282;Bccip;7;133709333;133721145
ENSMUST00000040313;Bcdin3d;15;99470079;99474730
ENSMUST00000124533;Bckdk;7;127904762;127908608
ENSMUST00000071056;Bckdk;7;127904082;127910221
ENSMUST00000009256;Bcl2l13;6;120836238;120892842
ENSMUST00000031692;Bcl7b;5;135168283;135181855
ENSMUST00000113733;Bcs1l;1;74588289;74592124
ENSMUST00000026557;Bet1l;7;140853394;140857109
ENSMUST00000023365;Bfar;16;13671858;13703612
ENSMUST00000021197;Blmh;11;76945504;76987379
ENSMUST00000026405;Bloc1s1;10;128919914;128923524
ENSMUST00000079033;Bloc1s2;19;44139259;44146446
ENSMUST00000077408;Bloc1s3;7;19504486;19508367
ENSMUST00000035899;Bloc1s5;13;38598841;38635109
ENSMUST00000027866;Blzf1;1;164289800;164307484
ENSMUST00000120447;Blzf1;1;164291389;164307489
ENSMUST00000028071;Bmi1;2;18677018;18686629
ENSMUST00000022634;Bnip3l;14;66985239;67008877
ENSMUST00000058060;Bod1;11;31665181;31671885
ENSMUST00000023217;Bop1;15;76452989;76477277
ENSMUST00000074912;Borcs7;19;46689906;46703382
ENSMUST00000040656;Bphl;13;34037597;34074074
ENSMUST00000027916;Bpnt1;1;185332149;185357777
ENSMUST00000208369;Bptf;11;107035397;107047343
ENSMUST00000057892;Bptf;11;107033081;107131922
ENSMUST00000002487;Braf;6;39603237;39725463
ENSMUST00000031414;Brap;5;121660563;121687256
ENSMUST00000114074;Brcc3;X;75416710;75451708
ENSMUST00000033544;Brcc3;X;75416628;75454001
ENSMUST00000109381;Brd1;15;88687034;88734233
ENSMUST00000151986;Brd2;17;34114085;34121988
ENSMUST00000095347;Brd2;17;34112363;34118489
ENSMUST00000077737;Brd3;2;27445579;27475686
ENSMUST00000121285;Brd4;17;32196274;32284109
ENSMUST00000120276;Brd4;17;32204910;32284109
ENSMUST00000034085;Brd7;8;88331059;88362194
ENSMUST00000099384;Brd9;13;73937838;73960895
ENSMUST00000011302;Brf1;12;112960085;113000704
ENSMUST00000022855;Brix1;15;10474779;10485947
ENSMUST00000035725;Brk1;6;113604772;113616951
ENSMUST00000116567;Brms1;19;5041354;5049917
ENSMUST00000059250;Brms1l;12;55836324;55869736
ENSMUST00000048162;Bsdc1;4;129461581;129488498
ENSMUST00000099494;Btaf1;19;36926079;37012752
ENSMUST00000026093;Btbd1;7;81792074;81829431
ENSMUST00000126980;Btbd2;10;80642617;80656494
ENSMUST00000168787;Btbd9;17;30215524;30576488
ENSMUST00000090147;Btd;14;31641057;31668579
ENSMUST00000152704;Btf3;13;98309897;98317006
ENSMUST00000102740;Btf3l4;4;108816791;108833554
ENSMUST00000102742;Btf3l4;4;108814295;108833614
ENSMUST00000207442;Bub3;7;131560710;131571164
ENSMUST00000084502;Bub3;7;131560222;131571892
ENSMUST00000160075;Bud31;5;145140415;145148071
ENSMUST00000162594;Bud31;5;145140362;145148078
ENSMUST00000024783;Bysl;17;47599331;47611492
ENSMUST00000050552;Bzw1;1;58392898;58407353
ENSMUST00000020856;Bzw2;12;36091835;36156825
ENSMUST00000000594;C1d;11;17257594;17269176
ENSMUST00000058265;C1galt1c1;X;38630785;38635087
ENSMUST00000078528;C1qbp;11;70977836;70983026
ENSMUST00000170757;C2cd2;16;97855209;97922633
ENSMUST00000065080;C2cd2l;9;44309237;44320285
ENSMUST00000051777;C2cd3;7;100372233;100470150
ENSMUST00000115248;C330007P06Rik;X;36848543;36864246
ENSMUST00000113698;C87436;6;86438727;86470388
ENSMUST00000030313;Caap1;4;94500081;94556796
ENSMUST00000113360;Cab39;1;85793441;85851576
ENSMUST00000022553;Cab39l;14;59440981;59548903
ENSMUST00000001712;Cabin1;10;75646112;75764316
ENSMUST00000108891;Cables2;2;180258540;180273496
ENSMUST00000114007;Cacfd1;2;27009926;27021089
ENSMUST00000050867;Cactin;10;81321103;81326242
ENSMUST00000014370;Cacybp;1;160202367;160212875
ENSMUST00000110082;Calm1;12;100199435;100209814
ENSMUST00000003912;Calr;8;84841850;84846934
ENSMUST00000031779;Calu;6;29348106;29376675
ENSMUST00000100837;Camk2g;14;20734875;20794051
ENSMUST00000080440;Camk2g;14;20734883;20794030
ENSMUST00000111668;Camkk2;5;122731170;122779382
ENSMUST00000020315;Cand1;10;119199255;119240055
ENSMUST00000106288;Cant1;11;118406289;118419052
ENSMUST00000020637;Canx;11;50294467;50325673
ENSMUST00000179865;Canx;11;50293961;50325673
ENSMUST00000027488;Capn10;1;92934376;92947941
ENSMUST00000117814;Capn10;1;92934766;92940972
ENSMUST00000022451;Capn7;14;31336638;31371984
ENSMUST00000111147;Caprin1;2;103765018;103797104
ENSMUST00000028607;Caprin1;2;103762941;103797649
ENSMUST00000143349;Caprin1;2;103767107;103772781
ENSMUST00000015877;Capza2;6;17636983;17666972
ENSMUST00000187978;Carf;1;60105344;60153953
ENSMUST00000034703;Carm1;9;21546894;21589467
ENSMUST00000105909;Cars;7;143557707;143600056
ENSMUST00000169695;Casc3;11;98809808;98833806
ENSMUST00000017384;Casc3;11;98804905;98833814
ENSMUST00000015333;Casd1;6;4600839;4643355
ENSMUST00000031895;Casp2;6;42264985;42282508
ENSMUST00000137526;Cbfa2t2;2;154510536;154539356
ENSMUST00000101499;Cbll1;12;31484936;31499616
ENSMUST00000018810;Cbx1;11;96789127;96803969
ENSMUST00000093943;Cbx1;11;96789159;96808640
ENSMUST00000026665;Cbx4;11;119077573;119086221
ENSMUST00000023064;Cby1;15;79659199;79667660
ENSMUST00000035612;Ccar2;14;70138168;70153811
ENSMUST00000107922;Ccdc107;4;43493389;43495921
ENSMUST00000030181;Ccdc107;4;43493362;43495921
ENSMUST00000042493;Ccdc115;1;34436670;34439672
ENSMUST00000020776;Ccdc117;11;5528887;5542187
ENSMUST00000007865;Ccdc124;8;70868227;70873935
ENSMUST00000022063;Ccdc127;13;74350309;74365783
ENSMUST00000089174;Ccdc134;15;82127922;82142203
ENSMUST00000058370;Ccdc137;11;120458115;120464358
ENSMUST00000037783;Ccdc174;6;91878053;91899843
ENSMUST00000118592;Ccdc186;19;56787481;56822190
ENSMUST00000033483;Ccdc22;X;7593809;7605517
ENSMUST00000022614;Ccdc25;14;65837302;65866607
ENSMUST00000036470;Ccdc32;2;119017779;119029393
ENSMUST00000028580;Ccdc34;2;110017817;110045316
ENSMUST00000092569;Ccdc43;11;102684686;102697782
ENSMUST00000002043;Ccdc47;11;106197408;106216344
ENSMUST00000100026;Ccdc50;16;27388869;27452218
ENSMUST00000026735;Ccdc51;9;109082493;109092489
ENSMUST00000147545;Ccdc6;10;70097121;70193200
ENSMUST00000061209;Ccdc71;9;108460527;108465938
ENSMUST00000172332;Ccdc71l;12;32378704;32382943
ENSMUST00000053286;Ccdc84;9;44410159;44418569
ENSMUST00000032842;Ccdc90b;7;92561149;92582294
ENSMUST00000032441;Ccdc91;6;147475871;147632612
ENSMUST00000002683;Ccdc97;7;25711106;25719088
ENSMUST00000000388;Ccm2;11;6546887;6596744
ENSMUST00000109721;Ccm2;11;6561230;6596742
ENSMUST00000164127;Ccnh;13;85189448;85212611
ENSMUST00000163600;Ccnh;13;85189477;85212910
ENSMUST00000022030;Ccnh;13;85189408;85213723
ENSMUST00000058550;Ccni;5;93181933;93206495
ENSMUST00000101055;Ccnk;12;108179738;108203359
ENSMUST00000112570;Ccnt2;1;127774164;127805932
ENSMUST00000053917;Ccny;18;9312304;9450150
ENSMUST00000085350;Ccpg1;9;72985605;73016000
ENSMUST00000037977;Ccpg1;9;72985429;73016340
ENSMUST00000037246;Ccs;19;4825366;4839332
ENSMUST00000047672;Cct2;10;117051001;117063814
ENSMUST00000001452;Cct3;3;88297116;88321767
ENSMUST00000173867;Cct4;11;22990519;23003780
ENSMUST00000022842;Cct5;15;31590800;31601804
ENSMUST00000032078;Cct7;6;85451514;85468475
ENSMUST00000204592;Cct7;6;85452092;85468282
ENSMUST00000026704;Cct8;16;87483326;87495873
ENSMUST00000031621;Ccz1;5;143987909;144014853
ENSMUST00000166791;Cd2bp2;7;127191660;127196000
ENSMUST00000047036;Cd3eap;7;19356014;19359481
